Проект,Категории,Цена,Заявки
Определить ключевое слово,Веб-программирование,None,2 заявки
"Вакансия художник-аниматор, дизайнер-компоузер",Иллюстрации/Рисунки,None,нет заявок
Консультация по  Google Apps for Work,Системное администрирование,None,4 заявки
"4 картинки (1280х720,превью) на видео для Ютуба",Пиксел-арт/Иконки,None,18 заявок
"Перевод (микроэлектроника, технический)",Переводы,None,18 заявок
Сайт на фреймворке yii2,Веб-программирование,None,9 заявок
Ищем дизайнера для 2D графики,Анимация,None,17 заявок
Реализовать интернет магазин.,Интернет-магазины,None,4 заявки
Битрикс,Веб-программирование,None,нет заявок
Настройка плагина WPML под Wordpress,Системы управления (CMS),None,3 заявки
Флаер А5 и баннер фасадный,Наружная реклама,None,21 заявка
Парсер для поиска фото по ссылке из источника kloomba.com на vk.com,Веб-программирование,None,1 заявка
Переработка существующего Web - интерфейса системы,Интерфейсы игр и программ,None,3 заявки
Доработка сайта на Wordpress,Веб-программирование,None,1 заявка
Автор блога про WordPress (английский язык),Новости/Статьи/Обзоры,None,2 заявки
Требуется директолог для настройки ряда кампаний,Контекстная реклама,None,15 заявок
Переводчик с русского на английский.,Переводы,None,5 заявок
"Раздел ""Национальная кухня"" для кулинарного сайта",Веб-программирование,$20,9 заявок
Клиентское приложение для android службы такси.,ПО для мобильных устройств,None,None
Нужен фирменный стиль и логотип,Знаки/Логотипы,None,41 заявка
Разработка Сайта на модх,Веб-программирование,None,4 заявки
"Настройка оформления заказа в магазине (Вордпресс, плагин Woocommerce)",Веб-программирование,None,2 заявки
Интернет магазин и приложение IOS+андройд к нему,Интернет-магазины,None,8 заявок
Интерактивная анимация на сайт,Веб-программирование,None,3 заявки
Необходимо разработать клон Travelpayouts,Веб-программирование,None,3 заявки
Написать качественные SEO  статьи на главную страницу,Копирайтинг/Рерайтинг,None,20 заявок
Разработка ANDROID приложения,ПО для мобильных устройств,None,9 заявок
Нужен IOS разработчик для доработок по существующему проекту,ПО для мобильных устройств,$50,3 заявки
Дизайн с адаптивом интернет-магазина Bitrix,Дизайн сайтов,$500,24 заявки
Node.JS,Интернет-магазины,None,2 заявки
Необходимо сверстать лендинг,Веб-программирование,None,10 заявок
Размещать объявление недвижимости с одного сайта на другой,Наполнение сайтов,None,11 заявок
Создать сайт для млм,Сайты «под ключ»,$100,7 заявок
Дизайн сайта,Дизайн сайтов,None,43 заявки
Создание презентации PDF,Презентации,$25,14 заявок
Нужно оптимизировать сайт,Поисковые системы (SEO),None,14 заявок
Создать рисованный ролик,Анимация,None,10 заявок
Доработки на вордпрессе,Веб-программирование,None,2 заявки
"Cotonti Siena доработать теги, уведомления, подрубрики",Веб-программирование,None,1 заявка
Описание каталога,Копирайтинг/Рерайтинг,None,4 заявки
Сделать рисованный ролик в стиле инфографики,Видеомонтаж,None,15 заявок
Разработка КД на здание котельной,Копирайтинг/Рерайтинг,None,1 заявка
Доработка модулей Joomla,Системы управления (CMS),None,2 заявки
"Соцсеть на Perl. Выбор, доработка и интеграция с сайтом.",Веб-программирование,None,1 заявка
UI/UX – Проектировщик интерфейсов,Интерфейсы игр и программ,$700,4 заявки
Разработка самого большого сайта-поисковика репетиторов в Мск и Киеве,Сайты «под ключ»,None,9 заявок
Дизайн сайта для компании по изготовлению полиэтиленовых  пакетов,Дизайн сайтов,$100,6 заявок
Доработать верстку проекта,HTML-верстка,$100,7 заявок
Рекламная газета,Дизайн продукции,None,22 заявки
Натянуть HTML шаблон на CMS Joomla + Joomshopping,Системы управления (CMS),None,7 заявок
Запись голоса для приветствия,Озвучивание,None,39 заявок
Сделать таймлайн для слайд-шоу на JS,Веб-программирование,$400,6 заявок
Разработка сайта и логотипа,Сайты «под ключ»,None,34 заявки
Разработка сайта для нового проекта,Интернет-магазины,None,12 заявок
Разгруппировать семантику для магазина,Поисковые системы (SEO),None,2 заявки
Требуется серия дистанционных уроков по программе Rhinoceros,3D-графика,None,1 заявка
Автоматизировать цикличные действия на сайте,Веб-программирование,None,6 заявок
Верстка трех страниц сайта по готовому PSD,HTML-верстка,None,None
Seo - продвижение,Поисковые системы (SEO),None,27 заявок
Сделать дизайн для лэндинга,Дизайн сайтов,None,38 заявок
Адаптивная верстка интерн-магазина по макетам PSD для Bitrix,HTML-верстка,$350,9 заявок
Статьи по туризму в инфостиле Максима Ильяхова,Копирайтинг/Рерайтинг,None,10 заявок
Разработка логотипа,Знаки/Логотипы,None,34 заявки
Прорисовка персонажа и его дальнейшее анимирование,Иллюстрации/Рисунки,None,9 заявок
Yii2 + API,Веб-программирование,$90,None
Laravel + API,Веб-программирование,$90,None
Разработка 3D модели для фрезерного станка ЧПУ,3D-графика,None,11 заявок
Доработка верстки сайта,HTML-верстка,None,8 заявок
Нужен дизайн продающего лендинга,Дизайн сайтов,None,29 заявок
Нужен копирайтер,Копирайтинг/Рерайтинг,None,12 заявок
Фирменный стиль: визитка евро + блокнот А5 + бланк А4,Фирменный стиль,$50,7 заявок
Сверстать PSD макеты,HTML-верстка,$100,None
Статьи для блога о дизайне интерьера,Копирайтинг/Рерайтинг,None,26 заявок
Статьи для блога о дизайне интерьера,Копирайтинг/Рерайтинг,None,26 заявок
Email,Наполнение сайтов,None,7 заявок
"Отключить функцию ""заказ звонка"" на сайте на MODX",Веб-программирование,None,10 заявок
Написать текст на сайт,Копирайтинг/Рерайтинг,None,34 заявки
Внести ряд изменений на сайте Joomla & Dupal,Системы управления (CMS),None,5 заявок
Сделать описание магазинов,Копирайтинг/Рерайтинг,None,12 заявок
Требуется предоставить список иконок в едином стиле,Пиксел-арт/Иконки,$12,None
Тематические уникальные картинки для статей,Иллюстрации/Рисунки,None,3 заявки
Обнулить цены на ряд позиций виртуемарт,Интернет-магазины,None,2 заявки
Socdata.org – дизайн,Дизайн сайтов,None,10 заявок
"Доработка сайта на WIX, верстка",Веб-программирование,None,1 заявка
Несложная анимация хомячка,Анимация,None,7 заявок
Узнать местоположение пользователя,Веб-программирование,None,7 заявок
Ведение групп в соц.сетях,Социальные сети (SMM/SMO),$50,16 заявок
Оргaнизaционнaя оптимизaция подготовительных рaбoт при стрoительстве,Дипломы/Курсовые/Рефераты,None,2 заявки
"Рерайтеры статей на тему ""Дача и сад"", ""Красота""",Копирайтинг/Рерайтинг,None,38 заявок
Создание интернет-магазина в vk / SMM,Социальные сети (SMM/SMO),None,6 заявок
"Статьи на тему маникюр, педикюр",Копирайтинг/Рерайтинг,None,7 заявок
Добработать сайт (Modx),Системы управления (CMS),None,2 заявки
Требуется веб-разработчик на проект,Веб-программирование,None,7 заявок
Оттестить приложение на андроид,ПО для мобильных устройств,None,2 заявки
Создание Технического задания на разработку приложения.,Копирайтинг/Рерайтинг,$100,6 заявок
Перенос сайта с Drupal 6 на Drupal 7-8,Системы управления (CMS),None,3 заявки
OAuth/OAuth2 вход/регистрация на сайт wordpress,Веб-программирование,$350,7 заявок
Makewear,HTML-верстка,None,4 заявки
Добавить кнопки Play/Stop на .swf видео для сайта,Системное программирование,$10,2 заявки
Верстка лендинга,HTML-верстка,$30,52 заявки
Доска объявлений,Веб-программирование,None,10 заявок
Нужно помочь с автоматизацией в интернете,Служба поддержки,$7,8 заявок
Статьи для сайта автозапчастей,Копирайтинг/Рерайтинг,None,40 заявок
Дизайн интерфейса игры про Шарики,Интерфейсы игр и программ,None,6 заявок
Требуется работник службы поддержки сайта / саппорт (английский язык),Служба поддержки,None,6 заявок
Нарисовать логотип,Знаки/Логотипы,$10,21 заявка
Редизайн логотипа,Знаки/Логотипы,None,33 заявки
Load тестирование php системы,Тестирование сайтов,None,4 заявки
Надо спарсить полностью сайт,Веб-программирование,None,13 заявок
Лендинг+SEO,Веб-программирование,None,6 заявок
Нужны статьи на туристическую тему,Новости/Статьи/Обзоры,None,13 заявок
Выполнить несколько задач на wordpress,Системы управления (CMS),$50,11 заявок
Картинки в слайдер популярных категорий на игровом сайте,Пиксел-арт/Иконки,$50,9 заявок
Найти видео-ролик и сделать к нему уникальное описание(для девушек),Копирайтинг/Рерайтинг,None,None
Требуется рерайтинг текста,Копирайтинг/Рерайтинг,None,9 заявок
Наполнение интернет магазина сантехники,Наполнение сайтов,None,47 заявок
Тексты для сайта. Тема – технологии укладки паркета,Копирайтинг/Рерайтинг,None,8 заявок
Провести конкурс в Instagram,Социальные сети (SMM/SMO),None,4 заявки
Рерайт большого объема текстов,Копирайтинг/Рерайтинг,None,8 заявок
Помощь нужна в установке удаленно рабочей программы 1с УТ 11,Прикладное ПО,None,3 заявки
Иконки для строительной фирмы,Пиксел-арт/Иконки,None,9 заявок
Сбор отзывов на товары по четкому тз,Наполнение сайтов,None,11 заявок
"Разработка сайта на PHP, noSQL,HTML5",Веб-программирование,None,4 заявки
Мотивация по написанию отзывов в маркет и на сайте.,Копирайтинг/Рерайтинг,None,5 заявок
Доработки сайта,Веб-программирование,None,None
Сверстать 9 страниц и установить на Битрикс,HTML-верстка,None,None
Тренинги по саморазвитию,Дизайн сайтов,$38,14 заявок
Настройка выставления счета в битрикс 24 (коробочная версия),Веб-программирование,None,2 заявки
Необходимо нарисовать дизайн лендинга,Дизайн сайтов,None,16 заявок
Наполнить интернет-магазин товарами (фото и описание),Наполнение сайтов,None,49 заявок
Web дизайн и полиграфия,Дизайн продукции,None,6 заявок
Доработка сайта на Bitrix,Системы управления (CMS),None,10 заявок
Обтравка изображений,Фотография (обработка),None,None
Дизайн инф. портала для программистов Амстердама,Дизайн сайтов,$1000,32 заявки
UI Kit для b2b веб приложения,Интерфейсы игр и программ,None,4 заявки
Создание Wordpress сайта,Системы управления (CMS),$400,None
Верстка сайта,HTML-верстка,None,8 заявок
Разработать фаервол под OS Windows 10.,Прикладное ПО,None,1 заявка
Вёрстка главной страницы (Bootstrap3),HTML-верстка,None,37 заявок
CMS,Системы управления (CMS),None,6 заявок
Уникализировать текст (рерайт) по ТЗ,Копирайтинг/Рерайтинг,None,8 заявок
Коммерческое предложение с дизайном,Копирайтинг/Рерайтинг,None,7 заявок
Описание онлайн-казино,Новости/Статьи/Обзоры,$2,8 заявок
Нужен сайт с самописным CMS для размещение статей и новостей,Веб-программирование,None,2 заявки
Интернет магазин,Интернет-магазины,None,6 заявок
Нарисовать и сверстать шаблон для сайта,Дизайн сайтов,$100,13 заявок
Разработать структуру и дизайн Лендинга,Дизайн сайтов,None,29 заявок
Программирование TS CRM 3.4,Веб-программирование,None,2 заявки
Добавить кнопки Поделиться в соц.сетях (DLE),Веб-программирование,None,2 заявки
Битрикс,Веб-программирование,None,7 заявок
Перегнать из 3D MAX в вектор,3D-графика,None,8 заявок
Создание Wordpress сайта на базе Visual Composer,Системы управления (CMS),$400,None
Доработки сайта на вордпресс,Веб-программирование,None,5 заявок
Доработка интернет-магазина по ТЗ (Python/Django),Интернет-магазины,None,нет заявок
Прикрипление pdf файла к письмо о заказе,Системы управления (CMS),None,3 заявки
Претензия некачественные двери,Юридические услуги,None,29 заявок
Верстка меню сайта по готовому дизайну,HTML-верстка,None,5 заявок
Доделать JS корзину (лендинг),Веб-программирование,None,6 заявок
Нужен автор текстов по заданной тематике (копиратер),Копирайтинг/Рерайтинг,None,11 заявок
1. Статья про заработок на играх (40 тыс. символов) - копирайт/ глубок,Копирайтинг/Рерайтинг,$12,2 заявки
Доработать калькулятор Bitrix,Веб-программирование,$5,2 заявки
Комплексное продвижение для интернет магазина автозапчастей.,Поисковые системы (SEO),None,30 заявок
Натянуть сайт на CMS и внести дополнения,Веб-программирование,None,10 заявок
Профессионально настроить кампанию на Adwords,Контекстная реклама,None,9 заявок
Ищу копирайтера с образованием психолога,Копирайтинг/Рерайтинг,None,27 заявок
"Доработка сайта PHP + MySQL (управление чемпионатами, статистика)",Веб-программирование,None,None
Доработка сайта на друпал 6,Веб-программирование,None,нет заявок
Разработка рекламы на автомобилях,Наружная реклама,None,16 заявок
Добавление слайдера с дополнительными опциями на сайт,Веб-программирование,None,1 заявка
Верстка страниц (не программная),HTML-верстка,None,29 заявок
Написать парсер для rarib.ru,Веб-программирование,None,6 заявок
Создание ювелирного магазина,Дизайн продукции,$70,6 заявок
Композитная технология,Веб-программирование,$30,2 заявки
Pixli.ru,Дизайн сайтов,$300,5 заявок
Создание сайта на WordPress с мостом XenForo,Веб-программирование,None,2 заявки
Разработать название бренда продукта - нэйминг (англ. язык),Нейминг/Слоганы,$100,68 заявок
Разработка 3D онлайн-конструктора на Blend4Web,3D-графика,None,4 заявки
Сбор информации,Наполнение сайтов,None,8 заявок
Доработка функционала платного шаблона Wordpress,Системы управления (CMS),None,1 заявка
Написать 3 статьи,Копирайтинг/Рерайтинг,None,12 заявок
Создание отчётов на JasperReports,Базы данных,None,5 заявок
Создание корпоративного видео для агентства переводов,Видеомонтаж,None,10 заявок
Заполнить интернет магазин текстом,Копирайтинг/Рерайтинг,$10,14 заявок
Создание лендинга для продажи смартфона,Веб-программирование,None,15 заявок
Ищем переводчика с английского в сфере недвижимости,Переводы,None,37 заявок
Интегрировать верстку в Shop Script 6,Интернет-магазины,None,1 заявка
Паблик в контакте.,Социальные сети (SMM/SMO),None,17 заявок
Верстка landing page на Wordpress,HTML-верстка,None,11 заявок
Сервис моментальных покупок и автоматизации продаж,Веб-программирование,$400,None
Отзывы на сайт,Социальные сети (SMM/SMO),None,5 заявок
Разработка backend онлайн консультанта,Веб-программирование,None,4 заявки
Удаленный помощник (виртуальный ассистент). Работа на английском языке,Служба поддержки,$300,30 заявок
Рекламаная комнаия на площадке Avito,Контекстная реклама,None,3 заявки
Доработка CMS и сопровождение сайтов,Системы управления (CMS),None,3 заявки
"Основы теории цепей, курсовая",Дипломы/Курсовые/Рефераты,None,3 заявки
Отправка данных в Битрикс24,Веб-программирование,None,2 заявки
Написание постов в соц группы на тему маникюра на укр.языке,Копирайтинг/Рерайтинг,None,16 заявок
Проработать идентификаторы для целей в метрике,Веб-программирование,$5,3 заявки
ТЗ к соцсети,Социальные сети (SMM/SMO),None,5 заявок
Коммерческое предложение с дизайном,Копирайтинг/Рерайтинг,None,7 заявок
Автоматизация тренингов по обучению персонала,Веб-программирование,None,3 заявки
Нужен UMI специалист,Системы управления (CMS),None,1 заявка
Комплексный SEO аудит и составление списка рекомендаций,Поисковые системы (SEO),None,24 заявки
Верстка сайта,HTML-верстка,None,40 заявок
Рассылка СМС - через GSM шлюз. PHP,Веб-программирование,$100,4 заявки
Дизайн сайта на площадке prom.ua,Дизайн сайтов,$50,нет заявок
Требуется журналист-копирайтер по медицинской тематике,Копирайтинг/Рерайтинг,None,10 заявок
Css для айфона,Веб-программирование,None,None
Переводчики на удаленную работу,Переводы,None,48 заявок
Интернет магазин Bitrix,Интернет-магазины,None,3 заявки
Автоматизированный прием заявок,Веб-программирование,None,3 заявки
Верстка статей,HTML-верстка,None,3 заявки
СЕО-аудит и рекомендации,Поисковые системы (SEO),None,20 заявок
Доработать магазин на phpShop4,Веб-программирование,None,1 заявка
Объявление на авито,Наполнение сайтов,None,2 заявки
Требуется доработка программки с использованием сторонный библиотеки,Прикладное ПО,$50,4 заявки
Доделка дизайн макета лендинга,Дизайн сайтов,None,17 заявок
Запись видеоотзыва о компании отдаленно,Видеомонтаж,None,8 заявок
Нужная небольшая помощь по Woocommerce,Системы управления (CMS),None,3 заявки
Художественный декор для кухонных Фасадов,Интерьеры/Экстерьеры,None,4 заявки
Обновление CMS Wordpress,Системы управления (CMS),None,7 заявок
Yoast Seo Wordpress,Веб-программирование,None,3 заявки
Скрипт для Google AdWords,Веб-программирование,None,2 заявки
Создать сайт-портфолио,Сайты «под ключ»,None,25 заявок
Рекламный модуль,Веб-программирование,None,2 заявки
Разместить пресс-релиз юридическая тема,Наполнение сайтов,None,1 заявка
Продвижение сайта,Поисковые системы (SEO),None,20 заявок
Парсер заявок с сайта (php + js),Веб-программирование,None,1 заявка
"Загрузка Видео и фото в разделы Мое Видео, Мое фото Symphony2",Веб-программирование,None,1 заявка
Создание видео,Видеомонтаж,None,14 заявок
Перевод контента,Переводы,None,None
Верстка Joomla+Bootstrap 3,HTML-верстка,None,6 заявок
Сайт прогнозов на спорт,Сайты «под ключ»,None,нет заявок
Сайт прогнозов на спорт,Сайты «под ключ»,None,нет заявок
Срочное изготовление баннеров GIF Сегодня,Баннеры,None,18 заявок
Создание визитки и наклейки,Дизайн продукции,None,18 заявок
Зависимые опции(аттрибуты) для им на вордпрессе,Веб-программирование,None,5 заявок
SEO-оптимизация портала по недвижимости Украины,Поисковые системы (SEO),$1000,None
Задача – поиск 5 специалистов по продажам (временный проект),Подбор персонала (HR),None,8 заявок
Починить сайт на Wordpress,Веб-программирование,None,10 заявок
"Перевод с английского с учетом ключевых фраз, и СЕО тексты с нуля.",Переводы,None,17 заявок
Требуется помощь с вёрсткой рассылки,HTML-верстка,None,10 заявок
Создать векторную иллюстрацию,Иллюстрации/Рисунки,None,12 заявок
Нужно нарисовать картинки для сайта,Пиксел-арт/Иконки,None,3 заявки
Дизайн нескольких страниц сайта,Дизайн сайтов,None,21 заявка
Ведение facebook группы,Социальные сети (SMM/SMO),None,5 заявок
Разработка плагинов для Internet Explorer,Прикладное ПО,$1500,None
Филиалы на Google Map,Веб-программирование,None,None
Технические правки на двух сайтах Joomla,Веб-программирование,None,2 заявки
Подмена мастерсервера в клиенте игры CS 1.6,Прикладное ПО,None,2 заявки
Плагины CS 1.6,Прикладное ПО,None,2 заявки
Сайт под ключ для компании по прокату автомобилей в Киеве,Сайты «под ключ»,None,21 заявка
Настроить лог анализатор для Google Аналитики и Яндекс метрики,Базы данных,None,2 заявки
Наполнить сайт WordPress 10 популярными новостями с фото,Наполнение сайтов,None,5 заявок
Нужен разработчик Wordperss плагина,Веб-программирование,None,1 заявка
Помощь по лендингу. Сверстать калькулятор,HTML-верстка,$8,2 заявки
"Вывод форм обратной связи, CMF Drupal",Системы управления (CMS),None,5 заявок
Поправить кнопку в сафари (DLE),HTML-верстка,None,3 заявки
План по развитию ТМ в  интернете и соц. сетях,Поисковые системы (SEO),None,6 заявок
Сайт под ключ,Сайты «под ключ»,None,22 заявки
Разработать android+ios приложения для сайта,ПО для мобильных устройств,None,5 заявок
Отредактировать WooCommerce плагин,Веб-программирование,None,2 заявки
Онлайн - игра либо на андроид (желательно) либо на Ios,ПО для мобильных устройств,None,3 заявки
Подкорректировать сайт,HTML-верстка,None,5 заявок
Доработать герб на конную тематику,Иллюстрации/Рисунки,None,None
Отредактировать функцию компонента Widgetkit на сайте,Веб-программирование,None,1 заявка
Помощь с приложением на MeteorJS,Веб-программирование,None,1 заявка
Плагин партнерский,Веб-программирование,None,1 заявка
Сайт для CPA,Сайты «под ключ»,$200,6 заявок
Wordpress: решение проблемы с вирусом,Системное администрирование,$15,15 заявок
Доработка сайта на Wordpress,Системы управления (CMS),None,11 заявок
"Верстка модулей(LESS, jQuery, HTML)",HTML-верстка,$19,1 заявка
Перенести сайт на другую cms,Системное программирование,None,4 заявки
Перенести сайт на другую cms,Системное программирование,None,4 заявки
Поправить адаптивную верстку,HTML-верстка,None,8 заявок
Разослать письмо по указанной базе емейл адресов,Служба поддержки,None,8 заявок
Необходимо сверстать лендинг.,HTML-верстка,$33,13 заявок
Сделать соц опрос по телефону (английский язык),Переводы,None,9 заявок
Необходимо исправить ошибки/сделать доработки на сайте,Веб-программирование,None,3 заявки
Сайт под ключ с парсингом,Сайты «под ключ»,$150,4 заявки
"Настроить рекламную кампанию для сайта ""Выкуп авто""",Контекстная реклама,None,13 заявок
Адаптивный перевод с английского языка,Копирайтинг/Рерайтинг,$300,86 заявок
Разработка дизайна оклейки кузова авто,Иллюстрации/Рисунки,None,7 заявок
Перевод видео с английского на русский,Переводы,None,15 заявок
Разработка гиф-анимации аватар,Анимация,$10,7 заявок
Настроить интеграцию Битрикс24 и Мой склад,Системы управления (CMS),None,2 заявки
Требуется причесать тексты в маркетинг-ките,Копирайтинг/Рерайтинг,None,6 заявок
Доработка сайта на MODx,Веб-программирование,None,1 заявка
Подобрать и прописать заголовки р1 и р2 на сайте на WordPress.,Поисковые системы (SEO),None,7 заявок
Копирайт. 5 продающих текстов.,Копирайтинг/Рерайтинг,None,11 заявок
Нужна помощь в создании масштабируемого Html5 баннера.,Баннеры,None,2 заявки
Админка + работа с SIP аккаунтами и Asterisk отдельно,Веб-программирование,None,1 заявка
Подобрать площадки для продвижения сайта.,Поисковые системы (SEO),None,4 заявки
Подобрать площадки для продвижения сайта.,Поисковые системы (SEO),None,4 заявки
Скопировать сайт,Веб-программирование,None,3 заявки
Рерайт пакета новостей по кинотематике,Копирайтинг/Рерайтинг,None,30 заявок
Настроить шаблон Joomla,Системы управления (CMS),None,3 заявки
Написание отзывов к товарам,Копирайтинг/Рерайтинг,None,22 заявки
Редизайн логотипа и создание фирменного стиля.,Знаки/Логотипы,$150,41 заявка
Посты в соц сетях,Социальные сети (SMM/SMO),None,4 заявки
Зарегистрировать аккаунт в Whatsapp,Социальные сети (SMM/SMO),None,5 заявок
Копирайтер на немецком для сообщений на форумах,Переводы,None,4 заявки
Крауд маркетинг (формирование отзывов),Поисковые системы (SEO),None,3 заявки
Нарисовать дизайн,Дизайн сайтов,None,51 заявка
Верстка доп страниц для WordPress,HTML-верстка,None,8 заявок
Нужно исправить парсер Кинопоиск,Веб-программирование,None,4 заявки
Оптимизировать скорость загрузки WP сайта и немного кода,Веб-программирование,None,1 заявка
Импорт данных в 1С из АвтоГрафа,1С-программирование,None,4 заявки
Рисовать схемки и диаграмма (перерисовывать),Иллюстрации/Рисунки,None,8 заявок
Дизайн сайта,Дизайн сайтов,$300,5 заявок
Доработка сайта на Yii + написание нового,Интернет-магазины,None,2 заявки
Копировать сайт с конструктора на домен,Веб-программирование,None,6 заявок
Верстка,HTML-верстка,None,19 заявок
Сайт под ключ,Сайты «под ключ»,None,31 заявка
Дизайн анимационной интерактивной карты,Анимация,None,6 заявок
Синхронизация 1С и WordPress,Веб-программирование,None,2 заявки
Настроить prosody.im,Веб-программирование,$5,1 заявка
Перевод документов на французский,Переводы,None,14 заявок
Переверстка этикеток,Верстка полиграфии,$30,14 заявок
Нарисовать баннер для соц. сетей,Баннеры,None,29 заявок
Контекстная реклама в Яндексе.,Контекстная реклама,None,19 заявок
Нужен php-программист для доработки сайта на Yii,Веб-программирование,None,3 заявки
Редизайн сайта на Opencart,Системы управления (CMS),$35,3 заявки
Дизайн сайта,Дизайн сайтов,None,47 заявок
Копирайт для сайта (торговля),Копирайтинг/Рерайтинг,None,20 заявок
"Не работает кнопка ""показать пароль"" на Wordpress",Веб-программирование,None,5 заявок
"Доработать лендинг, формы заказа",Веб-программирование,None,None
Подготовка фотографий товаров и написание описания товара,Наполнение сайтов,None,12 заявок
Админка для приложения на PHP,Веб-программирование,None,17 заявок
Собрать семантическое ядро под определенные сервисы,Поисковые системы (SEO),None,7 заявок
Доработка контента на сайте c CMS Modx Revo,Наполнение сайтов,None,5 заявок
Программист php(bitrix),Веб-программирование,None,4 заявки
Подбор площадок/размещение,Поисковые системы (SEO),None,нет заявок
Наполнить сайт,Наполнение сайтов,None,26 заявок
Внести правки на сайт. Сайт на WordPress,HTML-верстка,None,18 заявок
Элементы декора и дизайн торгового оборудования.,Дизайн сайтов,None,8 заявок
Написать SEO-тексты,Копирайтинг/Рерайтинг,None,26 заявок
Дизайн визиток.,Дизайн продукции,None,29 заявок
Нарисовать рекламные баннеры для печати.,Дизайн продукции,None,24 заявки
Копия сайта-лендинга по функционалу или написать свой такой же,Сайты «под ключ»,None,3 заявки
Продвижение сайта,Поисковые системы (SEO),None,19 заявок
Составить семантическое ядро,Поисковые системы (SEO),None,None
"SEO, изменение дизайна, магазин, учеб. центр",Дизайн сайтов,$2000,18 заявок
Мелкие правки на проекте с symphoni,Веб-программирование,None,1 заявка
"Простой сайт на drupal, верстка есть",Системы управления (CMS),$40,2 заявки
Разработка дизайна сайта консалтинговых услуг,3D-графика,$450,4 заявки
Дизайн логотипа,Знаки/Логотипы,None,28 заявок
Подобрать шаблон для интернет магазина,Дизайн сайтов,$15,3 заявки
Flash Player System Capabilities написать софтину для подмены значений,Прикладное ПО,None,нет заявок
Администрирование сайта www.smarttec.kz,Системное администрирование,None,3 заявки
Дизайн сайта (Женская тематика - Услуги),Дизайн сайтов,$140,53 заявки
Постинг по досках объявлений и спец форумах,Наполнение сайтов,None,нет заявок
Необходимо нарисовать дизайн лендинга.,Дизайн сайтов,$38,17 заявок
Нарисовать 2D картинки для сайта,Иллюстрации/Рисунки,None,17 заявок
Исправить ошибку Drupal,Системы управления (CMS),$5,4 заявки
Нужен SMM-специалист,Социальные сети (SMM/SMO),None,2 заявки
Тексты для интернет магазина,Копирайтинг/Рерайтинг,None,12 заявок
Сменить IMEI на Android - Lenovo S860,ПО для мобильных устройств,None,6 заявок
Озвучка видеоролика,Озвучивание,None,29 заявок
Создание баннера,Баннеры,$100,40 заявок
50 продающих статей на сайт (тематика - переводческие услуги),Копирайтинг/Рерайтинг,None,21 заявка
Дизайн сайта,Дизайн сайтов,None,44 заявки
Проверка уникальности пользователя,Веб-программирование,None,5 заявок
Копирайтер на информационный проект медицинской тематики,Копирайтинг/Рерайтинг,None,7 заявок
Обработка и приведение к единому формату для портфолио 350 фотографий,Фотография (обработка),None,51 заявка
"Маркетинг в соцсетях, заметки на форумах и в блогах, статьи.",Социальные сети (SMM/SMO),None,2 заявки
Дизайн внутренних страниц,Дизайн сайтов,None,14 заявок
Продвижение информационного портала,Поисковые системы (SEO),None,12 заявок
Программа/Плагин для блог клиента Open Live Writer,Прикладное ПО,None,нет заявок
Осуществить прозвоны и выйти на лицо принимающее решение,Служба поддержки,None,1 заявка
Доработка торрента,Прикладное ПО,None,нет заявок
Поставить сайт на битрикс,Системы управления (CMS),$75,2 заявки
Сделать моделирование и анимацию раскладки дивана.,3D-графика,$38,6 заявок
Необходимо  смс и емэил-рассылку на Московскую аудиторию.....,Социальные сети (SMM/SMO),$200,3 заявки
Нарисовать насекомых с соблюдением точных размеров,Иллюстрации/Рисунки,None,5 заявок
Настройка Битрикс-24 (Облако),Системы управления (CMS),None,4 заявки
