Проект,Категории,Цена,Заявки
Написать 8 статей.,"<a class=""text-muted"" href=""/jobs/?category_id=45"">Новости/Статьи/Обзоры</a>",None,15 заявок
Magento – импорт товаров и настройка темы,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$180,5 заявок
Доработка сайта на MODx Evo,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Разработка логотипа торговой марки производства ковриков,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",$80,37 заявок
"Одинаковый заголовок на всех страницах сайта, CMS Joomla 1.5","<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,9 заявок
Написать привлекающие рекламные тексты,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,11 заявок
Написать 5 текстов для Миралинкс по 2500 симв,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",$5,5 заявок
Создать видео для приложения на плей маркете,"<a class=""text-muted"" href=""/jobs/?category_id=41"">Видеомонтаж</a>",None,7 заявок
Обеспечить 1200 поздравлений на промо-сайте,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",$225,10 заявок
Мультяжный клип ( 3-х минутный),"<a class=""text-muted"" href=""/jobs/?category_id=41"">Видеомонтаж</a>",None,5 заявок
Монтаж видео,"<a class=""text-muted"" href=""/jobs/?category_id=41"">Видеомонтаж</a>",None,None
Перенос контекта,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,25 заявок
Настройка контекстной рекламы,"<a class=""text-muted"" href=""/jobs/?category_id=88"">Контекстная реклама</a>",None,19 заявок
Установка пагинатора (CMS Opencart),"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,2 заявки
Логотип для клуба конных переходов и походов horse-travel.ru,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",$70,18 заявок
Мобильное приложение для  службы курьерской доставки,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Контекстная реклама для сайта косметологии,"<a class=""text-muted"" href=""/jobs/?category_id=88"">Контекстная реклама</a>",None,17 заявок
Монтаж видеоролика,"<a class=""text-muted"" href=""/jobs/?category_id=41"">Видеомонтаж</a>",None,42 заявки
Ищу рерайтера,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",$50,23 заявки
Статьи на женскую тематику,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,74 заявки
Дизайн и верстка письма. Можно использовать готовые.,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,16 заявок
Склеить тиц,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,1 заявка
"Оптимизация, продвижения сайта.","<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,12 заявок
Доработать верстку сайта,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$20,45 заявок
Перенос дизайна,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,6 заявок
Ревизия телеграмма на анонимность,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Верстка подвала меню и шапки сайта на инсэйлс.,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$33,10 заявок
Создать товар в prestashop через api,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,2 заявки
Дизайн лендинга,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,16 заявок
Оптимизация и раскрутка сайта,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,19 заявок
Написать 10 обзорных статей по спортивной тематике,"<a class=""text-muted"" href=""/jobs/?category_id=45"">Новости/Статьи/Обзоры</a>",None,15 заявок
"Рус-анг, 10,5 стр. ""полимеры"" , ""дисперсные системы""","<a class=""text-muted"" href=""/jobs/?category_id=50"">Переводы</a>",None,4 заявки
Доделать сайт на WP,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",$124,1 заявка
Доработка проекта,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$15,9 заявок
"Разработка адаптивного сайта ""Аренда для Ивента""","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,9 заявок
Доработка,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$30,13 заявок
"Уменьшить картинку на главной странице, убрать надпись","<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,28 заявок
Нужно доделать сайт на битриксе,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Переделать сайт под конверсию и поменять логику заявки.,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Вариации дизайна средствами CSS,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$100,7 заявок
Адаптивная верстка,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,19 заявок
Программист-верстальщик,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,7 заявок
Программа на компьютер для создания конференцсвязи через usb модем,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$60,1 заявка
Дизайн и верстка,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,21 заявка
Доработка интернет-магазина на wp,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
E-mail рассылка,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,6 заявок
Настройка сервера Counter-Strike 1.6 и создание сайта к нему.,"<a class=""text-muted"" href=""/jobs/?category_id=54"">Системное администрирование</a>",None,8 заявок
Разработать шаблон публикации контента на форуме,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,3 заявки
"Внедрение, доработка и ввод в эксплуатацию одного из чатов для сайта","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Перевод интернет-магазина на Opencart,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$120,3 заявки
Создать прелоадер для музыкального потока,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Выполнить несколько task'oв на Angular.js.(срочно),"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Верстка документа,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,14 заявок
Генерация лидов для сайтов и лендингов,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,7 заявок
Комплексная работа над группой Вк,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,8 заявок
Простая CRM-ка с для обработки и распределения заявок,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,9 заявок
Исправить стили div'а для корректного скролллинга на мобильных,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,10 заявок
Правки по сайту на ModX Revolution,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$75,2 заявки
Статьи на строительную тематику,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,47 заявок
Помощник для автопостинга в соцсетях,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,5 заявок
Сделать бизнес-план,"<a class=""text-muted"" href=""/jobs/?category_id=73"">Финансовые услуги</a>",None,6 заявок
Парсер,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$60,3 заявки
Создание приложения для iOs и вскоре для Android,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,4 заявки
Joomshoping редирект 301,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$10,1 заявка
Программа управления автомойкой,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,None
Сделать бота для чата бизар,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,None
NETCAT,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$45,1 заявка
Сайт и Форум на Joomla,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,None
Баннеры для мероприятия на Facebook Mad Head,"<a class=""text-muted"" href=""/jobs/?category_id=8"">Баннеры</a>",$15,15 заявок
Копирайтер/рерайтер на рыболовную тему (обязательно со знанием дела),"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,6 заявок
Доработка joomla,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Оператор call центра,"<a class=""text-muted"" href=""/jobs/?category_id=56"">Служба поддержки</a>",None,11 заявок
Оптимизировать кампанию Директ (мебель),"<a class=""text-muted"" href=""/jobs/?category_id=88"">Контекстная реклама</a>",None,12 заявок
План презентации,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,6 заявок
Дизайн презентации (сайта),"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,14 заявок
Верстка LP,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$35,13 заявок
Наполнение сайта товарами,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,37 заявок
Обновить или сделать новый сайт,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,35 заявок
Настроить редирект 301,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Верстка интересного проекта для Wordpress по готовому макету,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,None
Создать сайт на WordPress. Есть готовый дизайн.,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,5 заявок
"Джумле, виртуамарте, уан пейдж чекаут, бд, js, пхп","<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,нет заявок
Перевод на тайский язык,"<a class=""text-muted"" href=""/jobs/?category_id=50"">Переводы</a>",None,2 заявки
Коммерческое предложение по банкротству физических и юридических лиц,"<a class=""text-muted"" href=""/jobs/?category_id=71"">Юридические услуги</a>",None,5 заявок
Оптимизация и продвижение сайта,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,29 заявок
Доработать блог на вордпресс (верстка),"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,2 заявки
Сайт на opencart,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,4 заявки
Отредактировать сайт на Joomla,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,14 заявок
Нарисовать черепицу,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,13 заявок
Синхронизация CRM и Google календаря,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Помощь в написании выпускной квалификационной работы,"<a class=""text-muted"" href=""/jobs/?category_id=47"">Дипломы/Курсовые/Рефераты</a>",None,7 заявок
Портретные рисунки в книгу в стиле гравюры или скетча,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,7 заявок
Доработка магазина на Prestashop 1.5.6,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Дизайн лендинга веб-студии,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,23 заявки
Нарисовать схему блок-секций,"<a class=""text-muted"" href=""/jobs/?category_id=78"">Чертежи/Схемы</a>",$10,14 заявок
Заказ №776052,"<a class=""text-muted"" href=""/jobs/?category_id=86"">Нейминг/Слоганы</a>",$100,131 заявка
Интеграция верстки,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Перевод всех элементов на сайте,"<a class=""text-muted"" href=""/jobs/?category_id=50"">Переводы</a>",None,9 заявок
Мессенджер на C#,"<a class=""text-muted"" href=""/jobs/?category_id=23"">Прикладное ПО</a>",None,5 заявок
Поправить title по заданию,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,3 заявки
Заставка для видео-ролика,"<a class=""text-muted"" href=""/jobs/?category_id=41"">Видеомонтаж</a>",None,35 заявок
Настройка элементов HTML с помощью Xpath,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,2 заявки
Разработать калькулятор изделия,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Правки по интернет магазину,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,1 заявка
Компонент геолокации в MODx Revo,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
"Составить разделы ""Финансовый план"" и ""Оценка рисков"" для бизнес-плана","<a class=""text-muted"" href=""/jobs/?category_id=73"">Финансовые услуги</a>",$70,6 заявок
Дизайн рисунка на сумке.,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,8 заявок
Химическая технология полимерных материалов,"<a class=""text-muted"" href=""/jobs/?category_id=47"">Дипломы/Курсовые/Рефераты</a>",None,2 заявки
Портирование товаров из prom.ua в ocstore,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Скрипт скрытия (или подгрузки) содержимого страницы,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Дипломная работа Отопление и вентиляция,"<a class=""text-muted"" href=""/jobs/?category_id=47"">Дипломы/Курсовые/Рефераты</a>",None,4 заявки
Внести правки на сайт (БИТРИКС),"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,5 заявок
Нужен стенографист,"<a class=""text-muted"" href=""/jobs/?category_id=49"">Редактирование/Корректировка</a>",None,23 заявки
Наполнить сайт отзывами,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,14 заявок
Написание сообщений на французских форумах,"<a class=""text-muted"" href=""/jobs/?category_id=50"">Переводы</a>",None,6 заявок
Написать функцию на php для преобразования изображения в 3D Box,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Разработать сайт для строительной компании на Django,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,2 заявки
Парсер Вконтакте,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,5 заявок
Добавить текст с jpg на ai,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Python-программист на парсер,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Разработать баннер для фотозоны.,"<a class=""text-muted"" href=""/jobs/?category_id=8"">Баннеры</a>",None,13 заявок
Рерайтер с опытом в тематиках форекса/бинарных опционов и английским,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,2 заявки
Исправить ошибки валидации Wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$15,4 заявки
Крауд-маркетинг ТЕСТОВОЕ ЗАДАНИЕ!,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",$6,нет заявок
"Программа, реализующая описанный алгоритм","<a class=""text-muted"" href=""/jobs/?category_id=23"">Прикладное ПО</a>",None,3 заявки
Необходимо доработать шаблон HireBee на wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
DLE программист,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$40,3 заявки
Определить ключевое слово,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
"Вакансия художник-аниматор, дизайнер-компоузер","<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,нет заявок
"Вакансия художник-аниматор, дизайнер-компоузер","<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,нет заявок
Консультация по  Google Apps for Work,"<a class=""text-muted"" href=""/jobs/?category_id=54"">Системное администрирование</a>",None,4 заявки
"4 картинки (1280х720,превью) на видео для Ютуба","<a class=""text-muted"" href=""/jobs/?category_id=14"">Пиксел-арт/Иконки</a>",None,18 заявок
"Перевод (микроэлектроника, технический)","<a class=""text-muted"" href=""/jobs/?category_id=50"">Переводы</a>",None,18 заявок
Сайт на фреймворке yii2,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,9 заявок
Ищем дизайнера для 2D графики,"<a class=""text-muted"" href=""/jobs/?category_id=39"">Анимация</a>",None,17 заявок
Реализовать интернет магазин.,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,4 заявки
Битрикс,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Настройка плагина WPML под Wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,3 заявки
Флаер А5 и баннер фасадный,"<a class=""text-muted"" href=""/jobs/?category_id=17"">Наружная реклама</a>",None,21 заявка
Парсер для поиска фото по ссылке из источника kloomba.com на vk.com,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Переработка существующего Web - интерфейса системы,"<a class=""text-muted"" href=""/jobs/?category_id=13"">Интерфейсы игр и программ</a>",None,3 заявки
Доработка сайта на Wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Автор блога про WordPress (английский язык),"<a class=""text-muted"" href=""/jobs/?category_id=45"">Новости/Статьи/Обзоры</a>",None,2 заявки
Требуется директолог для настройки ряда кампаний,"<a class=""text-muted"" href=""/jobs/?category_id=88"">Контекстная реклама</a>",None,14 заявок
Переводчик с русского на английский.,"<a class=""text-muted"" href=""/jobs/?category_id=50"">Переводы</a>",None,5 заявок
"Раздел ""Национальная кухня"" для кулинарного сайта","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$20,9 заявок
Клиентское приложение для android службы такси.,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,None
Нужен фирменный стиль и логотип,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",None,41 заявка
Разработка Сайта на модх,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
"Настройка оформления заказа в магазине (Вордпресс, плагин Woocommerce)","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Интернет магазин и приложение IOS+андройд к нему,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,8 заявок
Интерактивная анимация на сайт,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Необходимо разработать клон Travelpayouts,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Написать качественные SEO  статьи на главную страницу,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,20 заявок
Разработка ANDROID приложения,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,9 заявок
Нужен IOS разработчик для доработок по существующему проекту,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",$50,3 заявки
Дизайн с адаптивом интернет-магазина Bitrix,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$500,24 заявки
Node.JS,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,2 заявки
Необходимо сверстать лендинг,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,10 заявок
Размещать объявление недвижимости с одного сайта на другой,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,11 заявок
Создать сайт для млм,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",$100,7 заявок
Дизайн сайта,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,43 заявки
Создание презентации PDF,"<a class=""text-muted"" href=""/jobs/?category_id=60"">Презентации</a>",$25,14 заявок
Нужно оптимизировать сайт,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,14 заявок
Создать рисованный ролик,"<a class=""text-muted"" href=""/jobs/?category_id=39"">Анимация</a>",None,10 заявок
Доработки на вордпрессе,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
"Cotonti Siena доработать теги, уведомления, подрубрики","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Описание каталога,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,4 заявки
Сделать рисованный ролик в стиле инфографики,"<a class=""text-muted"" href=""/jobs/?category_id=41"">Видеомонтаж</a>",None,15 заявок
Разработка КД на здание котельной,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,1 заявка
Доработка модулей Joomla,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,2 заявки
"Соцсеть на Perl. Выбор, доработка и интеграция с сайтом.","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
UI/UX – Проектировщик интерфейсов,"<a class=""text-muted"" href=""/jobs/?category_id=13"">Интерфейсы игр и программ</a>",$700,4 заявки
Разработка самого большого сайта-поисковика репетиторов в Мск и Киеве,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,9 заявок
Дизайн сайта для компании по изготовлению полиэтиленовых  пакетов,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$100,6 заявок
Доработать верстку проекта,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$100,7 заявок
Рекламная газета,"<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",None,22 заявки
Натянуть HTML шаблон на CMS Joomla + Joomshopping,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,7 заявок
Запись голоса для приветствия,"<a class=""text-muted"" href=""/jobs/?category_id=42"">Озвучивание</a>",None,39 заявок
Сделать таймлайн для слайд-шоу на JS,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$400,6 заявок
Разработка сайта и логотипа,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,34 заявки
Разработка сайта для нового проекта,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,12 заявок
Разгруппировать семантику для магазина,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,2 заявки
Требуется серия дистанционных уроков по программе Rhinoceros,"<a class=""text-muted"" href=""/jobs/?category_id=12"">3D-графика</a>",None,1 заявка
Автоматизировать цикличные действия на сайте,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,6 заявок
Верстка трех страниц сайта по готовому PSD,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,None
Seo - продвижение,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,27 заявок
Сделать дизайн для лэндинга,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,38 заявок
Адаптивная верстка интерн-магазина по макетам PSD для Bitrix,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$350,9 заявок
Статьи по туризму в инфостиле Максима Ильяхова,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,10 заявок
Разработка логотипа,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",None,34 заявки
Прорисовка персонажа и его дальнейшее анимирование,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,9 заявок
Yii2 + API,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$90,None
Laravel + API,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$90,None
Разработка 3D модели для фрезерного станка ЧПУ,"<a class=""text-muted"" href=""/jobs/?category_id=12"">3D-графика</a>",None,11 заявок
Доработка верстки сайта,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,8 заявок
Нужен дизайн продающего лендинга,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,29 заявок
Нужен копирайтер,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,12 заявок
Фирменный стиль: визитка евро + блокнот А5 + бланк А4,"<a class=""text-muted"" href=""/jobs/?category_id=19"">Фирменный стиль</a>",$50,7 заявок
Сверстать PSD макеты,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$100,None
Статьи для блога о дизайне интерьера,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,26 заявок
Email,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,7 заявок
"Отключить функцию ""заказ звонка"" на сайте на MODX","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,10 заявок
Написать текст на сайт,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,33 заявки
Внести ряд изменений на сайте Joomla & Dupal,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,5 заявок
Сделать описание магазинов,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,12 заявок
Требуется предоставить список иконок в едином стиле,"<a class=""text-muted"" href=""/jobs/?category_id=14"">Пиксел-арт/Иконки</a>",$12,None
Тематические уникальные картинки для статей,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,3 заявки
Обнулить цены на ряд позиций виртуемарт,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,2 заявки
Обнулить цены на ряд позиций виртуемарт,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,2 заявки
Socdata.org – дизайн,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,10 заявок
"Доработка сайта на WIX, верстка","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Несложная анимация хомячка,"<a class=""text-muted"" href=""/jobs/?category_id=39"">Анимация</a>",None,7 заявок
